"source","target"
"ABI2","SLC4A7"
"ABI2","SLC7A6"
"ABI2","STAT5B"
"ABI3","IGFLR1"
"ABL1","ACBD5"
"ABL1","ARHGAP5"
"ABL1","ARHGEF12"
"ABL1","ATXN7L3B"
"ABL1","C6orf120"
"ABL1","CAMK2D"
"ABL1","CASC4"
"ABL1","CCNY"
"ABL1","CRKL"
"ABL1","CSDE1"
"ABL1","CSNK2A1"
"ABL1","DAGLA"
"ABL1","DNAJC14"
"ABL1","ERLIN1"
"ABL1","FAM168B"
"ABL1","FBXL3"
"ABL1","FGD5-AS1"
"ABL1","FOXJ3"
"ABL1","GPR107"
"ABL1","LINC00657"
"ABL1","NEK7"
"ABL1","NRIP1"
"ABL1","OCRL"
"ABL1","PDPK1"
"ABL1","PHF3"
"ABL1","PIK3R1"
"ABL1","PJA2"
"ABL1","PPP4R3B"
"ABL1","PUM2"
"ABL1","RP5-862P8.2"
"ABL1","SERINC1"
"ABL1","SERINC3"
"ABL1","SP3"
"ABL1","SPIN1"
"ABL1","SUDS3"
"ABL1","TAB2"
"ABL1","TMEM184C"
"ABL1","TRAK2"
"ABL1","TSPAN14"
"ABL1","UTP14C"
"ABL1","WDTC1"
"ABL1","ZFP91"
"ABL1","ZNF664"
"ABL2","ADCY7"
"ABL2","AHR"
"ABL2","ATM"
"ABL2","BAZ2B"
"ABL2","BLOC1S6"
"ABL2","BTAF1"
"ABL2","CBL"
"ABL2","CDK12"
"ABL2","CDK17"
"ABL2","ELK4"
"ABL2","HIVEP2"
